Orientation Sensor Raw Data Test
Current Temperature: 30 C
Calibration status values: 0=uncalibrated, 3=fully calibrated
X: 0.00 Y: 0.00 Z: 0.00		CALIBRATION: Sys=0 Gyro=0 Accel=0 Mag=0
X: 0.00 Y: 0.00 Z: 0.00		CALIBRATION: Sys=0 Gyro=0 Accel=0 Mag=0
X: 0.00 Y: 0.00 Z: 0.00		CALIBRATION: Sys=0 Gyro=0 Accel=0 Mag=0
X: 0.00 Y: 0.00 Z: 0.00		CALIBRATION: Sys=0 Gyro=0 Accel=0 Mag=0
X: 0.00 Y: 0.00 Z: 0.00		CALIBRATION: Sys=0 Gyro=0 Accel=0 Mag=0
X: 0.00 Y: 0.00 Z: 0.00		CALIBRATION: Sys=0 Gyro=3 Accel=0 Mag=0
X: 360.00 Y: 0.50 Z: 0.69		CALIBRATION: Sys=0 Gyro=3 Accel=0 Mag=0
X: 360.00 Y: 0.50 Z: 0.69		CALIBRATION: Sys=0 Gyro=3 Accel=0 Mag=0
X: 360.00 Y: 0.50 Z: 0.69		CALIBRATION: Sys=0 Gyro=3 Accel=0 Mag=0
X: 360.00 Y: 0.50 Z: 0.69		CALIBRATION: Sys=0 Gyro=3 Accel=0 Mag=0
X: 360.00 Y: 0.50 Z: 0.69		CALIBRATION: Sys=0 Gyro=3 Accel=0 Mag=0
X: 360.00 Y: 0.50 Z: 0.69		CALIBRATION: Sys=0 Gyro=3 Accel=0 Mag=0
X: 360.00 Y: 0.50 Z: 0.69		CALIBRATION: Sys=0 Gyro=3 Accel=0 Mag=0
X: 360.00 Y: 0.50 Z: 0.69		CALIBRATION: Sys=0 Gyro=3 Accel=0 Mag=0
X: 360.00 Y: 0.50 Z: 0.69		CALIBRATION: Sys=0 Gyro=3 Accel=0 Mag=0
X: 360.00 Y: 0.50 Z: 0.69		CALIBRATION: Sys=0 Gyro=3 Accel=0 Mag=0
X: 360.00 Y: 0.50 Z: 0.69		CALIBRATION: Sys=0 Gyro=3 Accel=0 Mag=0
X: 360.00 Y: 0.50 Z: 0.69		CALIBRATION: Sys=0 Gyro=3 Accel=0 Mag=0
X: 360.00 Y: 0.50 Z: 0.69		CALIBRATION: Sys=0 Gyro=3 Accel=0 Mag=0
X: 360.00 Y: 0.50 Z: 0.69		CALIBRATION: Sys=0 Gyro=3 Accel=0 Mag=0
X: 360.00 Y: 0.50 Z: 0.69		CALIBRATION: Sys=0 Gyro=3 Accel=0 Mag=0
X: 360.00 Y: 0.50 Z: 0.69		CALIBRATION: Sys=0 Gyro=3 Accel=0 Mag=0
X: 360.00 Y: 0.50 Z: 0.69		CALIBRATION: Sys=0 Gyro=3 Accel=0 Mag=0
